<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
NZDUSD	D	01/01/13	00:00:00	0.8278000	0.8291000	0.8257000	0.8274000	0
NZDUSD	D	02/01/13	00:00:00	0.8274400	0.8396800	0.8262500	0.8333200	0
NZDUSD	D	03/01/13	00:00:00	0.8338000	0.8354000	0.8272900	0.8280000	0
NZDUSD	D	04/01/13	00:00:00	0.8279500	0.8327000	0.8214000	0.8317200	0
NZDUSD	D	07/01/13	00:00:00	0.8304000	0.8378000	0.8287000	0.8371100	0
NZDUSD	D	08/01/13	00:00:00	0.8368000	0.8383000	0.8335200	0.8363000	0
NZDUSD	D	09/01/13	00:00:00	0.8363000	0.8412000	0.8350700	0.8393900	0
NZDUSD	D	10/01/13	00:00:00	0.8393200	0.8456000	0.8384400	0.8450600	0
NZDUSD	D	11/01/13	00:00:00	0.8457000	0.8460300	0.8363700	0.8365300	0
NZDUSD	D	14/01/13	00:00:00	0.8362000	0.8440100	0.8362000	0.8426100	0
NZDUSD	D	15/01/13	00:00:00	0.8429000	0.8439400	0.8373500	0.8397000	0
NZDUSD	D	16/01/13	00:00:00	0.8395400	0.8429300	0.8368100	0.8408800	0
NZDUSD	D	17/01/13	00:00:00	0.8403600	0.8426300	0.8333000	0.8355900	0
NZDUSD	D	18/01/13	00:00:00	0.8359900	0.8382200	0.8335500	0.8358400	0
NZDUSD	D	21/01/13	00:00:00	0.8352000	0.8372700	0.8333900	0.8359000	0
NZDUSD	D	22/01/13	00:00:00	0.8356800	0.8429700	0.8355800	0.8409600	0
NZDUSD	D	23/01/13	00:00:00	0.8407000	0.8440300	0.8401400	0.8428000	0
NZDUSD	D	24/01/13	00:00:00	0.8420000	0.8446900	0.8375500	0.8378600	0
NZDUSD	D	25/01/13	00:00:00	0.8377000	0.8394100	0.8355100	0.8376000	0
NZDUSD	D	28/01/13	00:00:00	0.8374000	0.8374000	0.8281000	0.8338000	0
NZDUSD	D	29/01/13	00:00:00	0.8335200	0.8392600	0.8326700	0.8388200	0
NZDUSD	D	30/01/13	00:00:00	0.8391800	0.8393300	0.8295100	0.8360300	0
NZDUSD	D	31/01/13	00:00:00	0.8356100	0.8422500	0.8344000	0.8389900	0
NZDUSD	D	01/02/13	00:00:00	0.8385200	0.8471000	0.8385200	0.8452200	0
NZDUSD	D	04/02/13	00:00:00	0.8450000	0.8491000	0.8425600	0.8427000	0
NZDUSD	D	05/02/13	00:00:00	0.8430000	0.8465100	0.8411800	0.8449000	0
NZDUSD	D	06/02/13	00:00:00	0.8438700	0.8460600	0.8392100	0.8396600	0
NZDUSD	D	07/02/13	00:00:00	0.8391500	0.8400900	0.8298000	0.8327000	0
NZDUSD	D	08/02/13	00:00:00	0.8328000	0.8388500	0.8326500	0.8345000	0
NZDUSD	D	11/02/13	00:00:00	0.8352000	0.8378900	0.8310400	0.8350200	0
NZDUSD	D	12/02/13	00:00:00	0.8349800	0.8436900	0.8333800	0.8402000	0
NZDUSD	D	13/02/13	00:00:00	0.8399000	0.8457300	0.8394700	0.8452100	0
NZDUSD	D	14/02/13	00:00:00	0.8450200	0.8516500	0.8449900	0.8511000	0
NZDUSD	D	15/02/13	00:00:00	0.8503400	0.8533900	0.8434500	0.8446300	0
NZDUSD	D	18/02/13	00:00:00	0.8447000	0.8464200	0.8419900	0.8453600	0
NZDUSD	D	19/02/13	00:00:00	0.8450800	0.8489000	0.8404500	0.8466000	0
NZDUSD	D	20/02/13	00:00:00	0.8465300	0.8470100	0.8328000	0.8352000	0
NZDUSD	D	21/02/13	00:00:00	0.8355800	0.8363100	0.8314300	0.8343000	0
NZDUSD	D	22/02/13	00:00:00	0.8335700	0.8397300	0.8335200	0.8374000	0
NZDUSD	D	25/02/13	00:00:00	0.8359000	0.8416700	0.8322200	0.8323500	0
NZDUSD	D	26/02/13	00:00:00	0.8330000	0.8352900	0.8224400	0.8236600	0
NZDUSD	D	27/02/13	00:00:00	0.8250700	0.8284500	0.8226500	0.8272000	0
NZDUSD	D	28/02/13	00:00:00	0.8275800	0.8325000	0.8240900	0.8256800	0
NZDUSD	D	01/03/13	00:00:00	0.8246400	0.8294600	0.8216600	0.8248300	0
NZDUSD	D	04/03/13	00:00:00	0.8254000	0.8278400	0.8193700	0.8275000	0
NZDUSD	D	05/03/13	00:00:00	0.8276200	0.8332300	0.8256100	0.8307000	0
NZDUSD	D	06/03/13	00:00:00	0.8307000	0.8349800	0.8276300	0.8280800	0
NZDUSD	D	07/03/13	00:00:00	0.8281700	0.8313700	0.8260900	0.8281300	0
NZDUSD	D	08/03/13	00:00:00	0.8279000	0.8293900	0.8187900	0.8217000	0
NZDUSD	D	11/03/13	00:00:00	0.8214000	0.8284800	0.8192600	0.8268700	0
NZDUSD	D	12/03/13	00:00:00	0.8266800	0.8274000	0.8232000	0.8256100	0
NZDUSD	D	13/03/13	00:00:00	0.8256000	0.8276100	0.8162800	0.8187000	0
NZDUSD	D	14/03/13	00:00:00	0.8187100	0.8234800	0.8166100	0.8214000	0
NZDUSD	D	15/03/13	00:00:00	0.8214300	0.8279500	0.8194100	0.8272700	0
NZDUSD	D	18/03/13	00:00:00	0.8271000	0.8271000	0.8218100	0.8261600	0
NZDUSD	D	19/03/13	00:00:00	0.8263400	0.8269600	0.8228600	0.8242700	0
NZDUSD	D	20/03/13	00:00:00	0.8243500	0.8280100	0.8210700	0.8257000	0
NZDUSD	D	21/03/13	00:00:00	0.8264300	0.8344600	0.8250900	0.8313700	0
NZDUSD	D	22/03/13	00:00:00	0.8313200	0.8362200	0.8308300	0.8350000	0
NZDUSD	D	25/03/13	00:00:00	0.8337000	0.8371100	0.8335000	0.8358800	0
NZDUSD	D	26/03/13	00:00:00	0.8350500	0.8394400	0.8339000	0.8390400	0
NZDUSD	D	27/03/13	00:00:00	0.8387900	0.8396900	0.8344000	0.8361000	0
NZDUSD	D	28/03/13	00:00:00	0.8365000	0.8385000	0.8352400	0.8363200	0
NZDUSD	D	29/03/13	00:00:00	0.8365200	0.8377000	0.8358000	0.8370000	0
NZDUSD	D	30/03/13	00:00:00	0.8364600	0.8372000	0.8349000	0.8370000	2364
NZDUSD	D	31/03/13	00:00:00	0.8361000	0.8364000	0.8355000	0.8357000	435
NZDUSD	D	01/04/13	00:00:00	0.8361000	0.8384700	0.8352100	0.8378000	0
NZDUSD	D	02/04/13	00:00:00	0.8378500	0.8445100	0.8373500	0.8416500	0
NZDUSD	D	03/04/13	00:00:00	0.8415800	0.8448400	0.8397600	0.8416000	0
NZDUSD	D	04/04/13	00:00:00	0.8414500	0.8437000	0.8364300	0.8416000	0
NZDUSD	D	05/04/13	00:00:00	0.8417000	0.8436400	0.8374700	0.8427000	0
NZDUSD	D	06/04/13	00:00:00	0.8429400	0.8434700	0.8417000	0.8427000	3938
NZDUSD	D	07/04/13	00:00:00	0.8423000	0.8423000	0.8410000	0.8422000	138
NZDUSD	D	08/04/13	00:00:00	0.8423000	0.8474900	0.8405900	0.8458000	0
NZDUSD	D	09/04/13	00:00:00	0.8461000	0.8536500	0.8459200	0.8517200	0
NZDUSD	D	10/04/13	00:00:00	0.8521300	0.8592500	0.8515800	0.8589600	0
NZDUSD	D	11/04/13	00:00:00	0.8588500	0.8676500	0.8573400	0.8631000	0
NZDUSD	D	12/04/13	00:00:00	0.8628400	0.8642700	0.8547500	0.8582000	0
NZDUSD	D	13/04/13	00:00:00	0.8588900	0.8589500	0.8576000	0.8582000	7457
NZDUSD	D	14/04/13	00:00:00	0.8563000	0.8571000	0.8550000	0.8560000	389
NZDUSD	D	15/04/13	00:00:00	0.8563000	0.8581400	0.8378800	0.8414600	0
NZDUSD	D	16/04/13	00:00:00	0.8420300	0.8507500	0.8413200	0.8488000	0
NZDUSD	D	17/04/13	00:00:00	0.8490900	0.8509400	0.8427900	0.8445000	0
NZDUSD	D	18/04/13	00:00:00	0.8443900	0.8469100	0.8402900	0.8415400	0
NZDUSD	D	19/04/13	00:00:00	0.8409600	0.8490900	0.8403100	0.8418900	0
NZDUSD	D	20/04/13	00:00:00	0.8428800	0.8431000	0.8410000	0.8418900	10109
NZDUSD	D	21/04/13	00:00:00	0.8411000	0.8414000	0.8378000	0.8393000	636
NZDUSD	D	22/04/13	00:00:00	0.8411000	0.8461000	0.8385000	0.8421500	0
NZDUSD	D	23/04/13	00:00:00	0.8424200	0.8456000	0.8361400	0.8433900	0
NZDUSD	D	24/04/13	00:00:00	0.8432200	0.8487100	0.8413700	0.8471900	0
NZDUSD	D	25/04/13	00:00:00	0.8475500	0.8562600	0.8469400	0.8499300	0
NZDUSD	D	26/04/13	00:00:00	0.8499200	0.8538500	0.8472700	0.8470000	0
NZDUSD	D	27/04/13	00:00:00	0.8487300	0.8495700	0.8467000	0.8470000	3405
NZDUSD	D	28/04/13	00:00:00	0.8484000	0.8492000	0.8472100	0.8480000	353
NZDUSD	D	29/04/13	00:00:00	0.8484000	0.8576900	0.8483000	0.8552400	0
NZDUSD	D	30/04/13	00:00:00	0.8555400	0.8585900	0.8542900	0.8560300	0
NZDUSD	D	01/05/13	00:00:00	0.8563500	0.8582300	0.8482200	0.8497400	0
NZDUSD	D	02/05/13	00:00:00	0.8504000	0.8511900	0.8456500	0.8489600	0
NZDUSD	D	03/05/13	00:00:00	0.8493500	0.8549000	0.8473800	0.8532000	0
NZDUSD	D	04/05/13	00:00:00	0.8541000	0.8543800	0.8523000	0.8532000	5883
NZDUSD	D	06/05/13	00:00:00	0.8530000	0.8556500	0.8486400	0.8512000	0
NZDUSD	D	07/05/13	00:00:00	0.8510100	0.8523900	0.8423400	0.8438400	0
NZDUSD	D	08/05/13	00:00:00	0.8442600	0.8460700	0.8361500	0.8407000	0
NZDUSD	D	09/05/13	00:00:00	0.8409500	0.8481000	0.8353600	0.8395000	0
NZDUSD	D	10/05/13	00:00:00	0.8399000	0.8418300	0.8259000	0.8300900	0
NZDUSD	D	11/05/13	00:00:00	0.8299400	0.8309000	0.8281000	0.8300900	10386
NZDUSD	D	12/05/13	00:00:00	0.8284000	0.8286000	0.8265800	0.8273000	556
NZDUSD	D	13/05/13	00:00:00	0.8284000	0.8317900	0.8229500	0.8250800	0
NZDUSD	D	14/05/13	00:00:00	0.8252100	0.8301800	0.8181500	0.8208000	0
NZDUSD	D	15/05/13	00:00:00	0.8204300	0.8255800	0.8175300	0.8223000	0
NZDUSD	D	16/05/13	00:00:00	0.8230400	0.8271600	0.8139700	0.8170900	0
NZDUSD	D	17/05/13	00:00:00	0.8171500	0.8177300	0.8061100	0.8062000	0
NZDUSD	D	18/05/13	00:00:00	0.8061200	0.8072400	0.8056000	0.8062000	8199
NZDUSD	D	19/05/13	00:00:00	0.8074000	0.8077000	0.8062000	0.8075000	112
NZDUSD	D	20/05/13	00:00:00	0.8074000	0.8179500	0.8074000	0.8172500	0
NZDUSD	D	21/05/13	00:00:00	0.8173400	0.8212600	0.8118600	0.8162500	0
NZDUSD	D	22/05/13	00:00:00	0.8166200	0.8205000	0.8058000	0.8063800	0
NZDUSD	D	23/05/13	00:00:00	0.8057300	0.8171000	0.8007300	0.8124300	0
NZDUSD	D	24/05/13	00:00:00	0.8123900	0.8129100	0.8067500	0.8092200	0
NZDUSD	D	25/05/13	00:00:00	0.8085100	0.8100000	0.8063100	0.8092200	9901
NZDUSD	D	26/05/13	00:00:00	0.8091000	0.8115100	0.8087800	0.8100000	552
NZDUSD	D	27/05/13	00:00:00	0.8091000	0.8115100	0.8062800	0.8087000	0
NZDUSD	D	28/05/13	00:00:00	0.8085500	0.8127700	0.8061500	0.8088000	0
NZDUSD	D	29/05/13	00:00:00	0.8088400	0.8162300	0.8050000	0.8099000	0
NZDUSD	D	30/05/13	00:00:00	0.8101800	0.8125000	0.8005000	0.8075000	0
NZDUSD	D	31/05/13	00:00:00	0.8076500	0.8103000	0.7939400	0.7937600	0
NZDUSD	D	01/06/13	00:00:00	0.7943500	0.7956000	0.7935000	0.7937600	6594
NZDUSD	D	02/06/13	00:00:00	0.7968000	0.7986000	0.7956900	0.7967000	565
NZDUSD	D	03/06/13	00:00:00	0.7968000	0.8118100	0.7943100	0.8089900	0
NZDUSD	D	04/06/13	00:00:00	0.8095400	0.8104800	0.7968400	0.8016000	0
NZDUSD	D	05/06/13	00:00:00	0.8014000	0.8060900	0.7929000	0.7973000	0
NZDUSD	D	06/06/13	00:00:00	0.7971200	0.8102400	0.7903300	0.7992100	0
NZDUSD	D	07/06/13	00:00:00	0.7981000	0.8016400	0.7859700	0.7868000	0
NZDUSD	D	08/06/13	00:00:00	0.7891000	0.7896000	0.7868000	0.7868000	5533
NZDUSD	D	09/06/13	00:00:00	0.7834000	0.7844000	0.7814000	0.7838000	401
NZDUSD	D	10/06/13	00:00:00	0.7834000	0.7922900	0.7822000	0.7901500	0
NZDUSD	D	11/06/13	00:00:00	0.7896900	0.7910600	0.7761400	0.7877000	0
NZDUSD	D	12/06/13	00:00:00	0.7875700	0.8023200	0.7865600	0.7953000	0
NZDUSD	D	13/06/13	00:00:00	0.7951800	0.8111800	0.7896300	0.8099000	0
NZDUSD	D	14/06/13	00:00:00	0.8096400	0.8136400	0.8038400	0.8040000	0
NZDUSD	D	15/06/13	00:00:00	0.8057800	0.8059500	0.8038000	0.8040000	4187
NZDUSD	D	16/06/13	00:00:00	0.8040000	0.8044000	0.8032000	0.8044000	125
NZDUSD	D	17/06/13	00:00:00	0.8040000	0.8099200	0.7967800	0.7998000	0
NZDUSD	D	18/06/13	00:00:00	0.8001900	0.8021200	0.7948900	0.7990000	0
NZDUSD	D	19/06/13	00:00:00	0.7990000	0.8053000	0.7857000	0.7878000	0
