<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GBPUSD	D	01/01/15	00:00:00	1.5586000	1.5589000	1.5550000	1.5577000	16669
GBPUSD	D	02/01/15	00:00:00	1.5574000	1.5587000	1.5325000	1.5333000	1155678
GBPUSD	D	03/01/15	00:00:00	1.5333000	1.5335000	1.5322000	1.5326000	25760
GBPUSD	D	04/01/15	00:00:00	1.5332000	1.5335000	1.5320000	1.5325000	463
GBPUSD	D	05/01/15	00:00:00	1.5325000	1.5333000	1.5173000	1.5252000	1542985
GBPUSD	D	06/01/15	00:00:00	1.5252000	1.5275000	1.5147000	1.5152000	1726823
GBPUSD	D	07/01/15	00:00:00	1.5152000	1.5158000	1.5052000	1.5108000	1759448
GBPUSD	D	08/01/15	00:00:00	1.5107000	1.5118000	1.5030000	1.5083000	1532453
GBPUSD	D	09/01/15	00:00:00	1.5083000	1.5175000	1.5074000	1.5165000	1521277
GBPUSD	D	10/01/15	00:00:00	1.5164000	1.5169000	1.5149000	1.5158000	34715
GBPUSD	D	11/01/15	00:00:00	1.5175000	1.5185000	1.5161000	1.5181000	706
GBPUSD	D	12/01/15	00:00:00	1.5181000	1.5194000	1.5094000	1.5178000	1145292
GBPUSD	D	13/01/15	00:00:00	1.5177000	1.5192000	1.5076000	1.5162000	1394103
GBPUSD	D	14/01/15	00:00:00	1.5162000	1.5269000	1.5142000	1.5235000	1556918
GBPUSD	D	15/01/15	00:00:00	1.5235000	1.5267000	1.5146000	1.5173000	1764866
GBPUSD	D	16/01/15	00:00:00	1.5173000	1.5235000	1.5074000	1.5158000	1528666
GBPUSD	D	17/01/15	00:00:00	1.5157000	1.5160000	1.5132000	1.5149000	37532
GBPUSD	D	18/01/15	00:00:00	1.5165000	1.5165000	1.5137000	1.5149000	103
GBPUSD	D	19/01/15	00:00:00	1.5146000	1.5179000	1.5105000	1.5114000	1370776
GBPUSD	D	20/01/15	00:00:00	1.5114000	1.5200000	1.5056000	1.5154000	1463708
GBPUSD	D	21/01/15	00:00:00	1.5153000	1.5179000	1.5075000	1.5131000	1606958
GBPUSD	D	22/01/15	00:00:00	1.5132000	1.5212000	1.4999000	1.5006000	1779717
GBPUSD	D	23/01/15	00:00:00	1.5006000	1.5036000	1.4950000	1.4999000	1872175
GBPUSD	D	24/01/15	00:00:00	1.4999000	1.4999000	1.4981000	1.4989000	69434
GBPUSD	D	25/01/15	00:00:00	1.4990000	1.5010000	1.4970000	1.4995000	1022
GBPUSD	D	26/01/15	00:00:00	1.4995000	1.5100000	1.4984000	1.5098000	1449961
GBPUSD	D	27/01/15	00:00:00	1.5098000	1.5224000	1.5055000	1.5201000	1641683
GBPUSD	D	28/01/15	00:00:00	1.5201000	1.5219000	1.5133000	1.5156000	1585067
GBPUSD	D	29/01/15	00:00:00	1.5156000	1.5163000	1.5017000	1.5065000	1517759
GBPUSD	D	30/01/15	00:00:00	1.5065000	1.5096000	1.4985000	1.5061000	1425648
GBPUSD	D	31/01/15	00:00:00	1.5060000	1.5082000	1.5036000	1.5067000	53438
GBPUSD	D	02/02/15	00:00:00	1.5092000	1.5100000	1.5001000	1.5022000	1225398
GBPUSD	D	03/02/15	00:00:00	1.5021000	1.5198000	1.4985000	1.5167000	1456746
GBPUSD	D	04/02/15	00:00:00	1.5167000	1.5251000	1.5136000	1.5206000	1442331
GBPUSD	D	05/02/15	00:00:00	1.5206000	1.5344000	1.5162000	1.5335000	1555718
GBPUSD	D	06/02/15	00:00:00	1.5335000	1.5352000	1.5208000	1.5236000	1286667
GBPUSD	D	07/02/15	00:00:00	1.5236000	1.5253000	1.5230000	1.5241000	38041
GBPUSD	D	08/02/15	00:00:00	1.5266000	1.5266000	1.5209000	1.5215000	739
GBPUSD	D	09/02/15	00:00:00	1.5215000	1.5267000	1.5197000	1.5216000	1190821
GBPUSD	D	10/02/15	00:00:00	1.5216000	1.5276000	1.5194000	1.5256000	1330520
GBPUSD	D	11/02/15	00:00:00	1.5256000	1.5300000	1.5214000	1.5241000	1242458
GBPUSD	D	12/02/15	00:00:00	1.5240000	1.5415000	1.5206000	1.5403000	1580156
GBPUSD	D	13/02/15	00:00:00	1.5403000	1.5422000	1.5366000	1.5402000	1284882
GBPUSD	D	14/02/15	00:00:00	1.5403000	1.5406000	1.5385000	1.5400000	45031
GBPUSD	D	15/02/15	00:00:00	1.5399000	1.5429000	1.5394000	1.5424000	831
GBPUSD	D	16/02/15	00:00:00	1.5424000	1.5441000	1.5337000	1.5362000	1092390
