<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
NZDUSD	D	01/01/19	00:00:00	0.6711800	0.6725200	0.6709300	0.6718200	10198
NZDUSD	D	02/01/19	00:00:00	0.6718500	0.6724600	0.6653000	0.6662500	1301675
NZDUSD	D	03/01/19	00:00:00	0.6662500	0.6699900	0.6583400	0.6693300	1763253
NZDUSD	D	04/01/19	00:00:00	0.6693300	0.6751900	0.6668800	0.6735800	1499693
NZDUSD	D	05/01/19	00:00:00	0.6735800	0.6741000	0.6729000	0.6729000	16709
NZDUSD	D	06/01/19	00:00:00	0.6728000	0.6743700	0.6724400	0.6740000	302
NZDUSD	D	07/01/19	00:00:00	0.6742100	0.6767100	0.6724300	0.6753000	1053435
NZDUSD	D	08/01/19	00:00:00	0.6753500	0.6758000	0.6705000	0.6723300	1107537
NZDUSD	D	09/01/19	00:00:00	0.6722700	0.6809400	0.6718000	0.6798100	1283598
NZDUSD	D	10/01/19	00:00:00	0.6798600	0.6798600	0.6767000	0.6780100	1146873
NZDUSD	D	11/01/19	00:00:00	0.6780400	0.6843900	0.6774800	0.6829500	1191413
NZDUSD	D	12/01/19	00:00:00	0.6829500	0.6834500	0.6827000	0.6831000	16470
NZDUSD	D	13/01/19	00:00:00	0.6828000	0.6828800	0.6822000	0.6823000	178
NZDUSD	D	14/01/19	00:00:00	0.6823600	0.6832400	0.6794000	0.6819900	989717
NZDUSD	D	15/01/19	00:00:00	0.6820000	0.6848800	0.6798000	0.6816900	1063032
NZDUSD	D	16/01/19	00:00:00	0.6816300	0.6830600	0.6753000	0.6779600	1026392
NZDUSD	D	17/01/19	00:00:00	0.6779600	0.6786700	0.6726000	0.6767800	1034723
NZDUSD	D	18/01/19	00:00:00	0.6767900	0.6784500	0.6738000	0.6740700	927333
NZDUSD	D	19/01/19	00:00:00	0.6740800	0.6746400	0.6734600	0.6744000	19431
NZDUSD	D	20/01/19	00:00:00	0.6741000	0.6760000	0.6741000	0.6751600	114
NZDUSD	D	21/01/19	00:00:00	0.6751000	0.6752500	0.6710000	0.6727800	746297
NZDUSD	D	22/01/19	00:00:00	0.6727600	0.6734200	0.6703000	0.6720500	947443
NZDUSD	D	23/01/19	00:00:00	0.6720800	0.6798300	0.6717000	0.6788500	1088531
NZDUSD	D	24/01/19	00:00:00	0.6788100	0.6806900	0.6754000	0.6763000	1182154
NZDUSD	D	25/01/19	00:00:00	0.6765100	0.6850700	0.6745000	0.6848300	1077988
NZDUSD	D	26/01/19	00:00:00	0.6848300	0.6849600	0.6833500	0.6837000	19266
NZDUSD	D	27/01/19	00:00:00	0.6829600	0.6834500	0.6824000	0.6825000	84
NZDUSD	D	28/01/19	00:00:00	0.6827800	0.6872200	0.6822000	0.6831900	873109
NZDUSD	D	29/01/19	00:00:00	0.6832100	0.6862000	0.6813000	0.6829800	1021399
NZDUSD	D	30/01/19	00:00:00	0.6829300	0.6911600	0.6817000	0.6890700	1150997
