<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GBPUSD	D	01/01/14	00:00:00	1.6558000	1.6580000	1.6529000	1.6570000	0
GBPUSD	D	02/01/14	00:00:00	1.6556000	1.6603000	1.6409000	1.6422000	0
GBPUSD	D	03/01/14	00:00:00	1.6422000	1.6474000	1.6391000	1.6421000	0
GBPUSD	D	04/01/14	00:00:00	1.6421000	1.6423000	1.6399000	1.6417000	0
GBPUSD	D	05/01/14	00:00:00	1.6405000	1.6423000	1.6391000	1.6395000	0
GBPUSD	D	06/01/14	00:00:00	1.6398000	1.6434000	1.6333000	1.6404000	0
GBPUSD	D	07/01/14	00:00:00	1.6403000	1.6438000	1.6370000	1.6406000	0
GBPUSD	D	08/01/14	00:00:00	1.6406000	1.6472000	1.6374000	1.6448000	0
GBPUSD	D	09/01/14	00:00:00	1.6446000	1.6497000	1.6438000	1.6471000	0
GBPUSD	D	10/01/14	00:00:00	1.6470000	1.6517000	1.6375000	1.6473000	0
GBPUSD	D	11/01/14	00:00:00	1.6472000	1.6485000	1.6467000	1.6481000	0
GBPUSD	D	12/01/14	00:00:00	1.6478000	1.6490000	1.6473000	1.6482000	0
GBPUSD	D	13/01/14	00:00:00	1.6481000	1.6508000	1.6343000	1.6390000	0
GBPUSD	D	14/01/14	00:00:00	1.6389000	1.6464000	1.6363000	1.6434000	0
GBPUSD	D	15/01/14	00:00:00	1.6434000	1.6448000	1.6318000	1.6367000	0
GBPUSD	D	16/01/14	00:00:00	1.6368000	1.6383000	1.6312000	1.6356000	0
GBPUSD	D	17/01/14	00:00:00	1.6355000	1.6459000	1.6305000	1.6420000	0
GBPUSD	D	18/01/14	00:00:00	1.6420000	1.6425000	1.6404000	1.6420000	0
GBPUSD	D	19/01/14	00:00:00	1.6406000	1.6421000	1.6404000	1.6418000	0
GBPUSD	D	20/01/14	00:00:00	1.6417000	1.6452000	1.6394000	1.6433000	0
GBPUSD	D	21/01/14	00:00:00	1.6433000	1.6486000	1.6395000	1.6477000	0
GBPUSD	D	22/01/14	00:00:00	1.6476000	1.6587000	1.6446000	1.6575000	0
GBPUSD	D	23/01/14	00:00:00	1.6576000	1.6636000	1.6554000	1.6628000	0
GBPUSD	D	24/01/14	00:00:00	1.6629000	1.6668000	1.6475000	1.6507000	0
GBPUSD	D	25/01/14	00:00:00	1.6506000	1.6508000	1.6475000	1.6475000	0
GBPUSD	D	26/01/14	00:00:00	1.6483000	1.6486000	1.6471000	1.6480000	0
GBPUSD	D	27/01/14	00:00:00	1.6479000	1.6587000	1.6472000	1.6573000	0
GBPUSD	D	28/01/14	00:00:00	1.6572000	1.6625000	1.6533000	1.6576000	0
GBPUSD	D	29/01/14	00:00:00	1.6577000	1.6607000	1.6521000	1.6574000	0
GBPUSD	D	30/01/14	00:00:00	1.6573000	1.6574000	1.6440000	1.6477000	0
GBPUSD	D	31/01/14	00:00:00	1.6476000	1.6498000	1.6422000	1.6433000	0
GBPUSD	D	01/02/14	00:00:00	1.6432000	1.6444000	1.6429000	1.6433000	0
GBPUSD	D	02/02/14	00:00:00	1.6430000	1.6444000	1.6421000	1.6426000	0
GBPUSD	D	03/02/14	00:00:00	1.6425000	1.6441000	1.6286000	1.6306000	0
GBPUSD	D	04/02/14	00:00:00	1.6305000	1.6345000	1.6253000	1.6320000	0
GBPUSD	D	05/02/14	00:00:00	1.6319000	1.6341000	1.6248000	1.6311000	0
GBPUSD	D	06/02/14	00:00:00	1.6312000	1.6349000	1.6268000	1.6320000	507063
GBPUSD	D	07/02/14	00:00:00	1.6321000	1.6413000	1.6299000	1.6409000	0
GBPUSD	D	08/02/14	00:00:00	1.6408000	1.6418000	1.6403000	1.6409000	0
GBPUSD	D	09/02/14	00:00:00	1.6402000	1.6411000	1.6391000	1.6398000	0
GBPUSD	D	10/02/14	00:00:00	1.6399000	1.6427000	1.6379000	1.6403000	0
GBPUSD	D	11/02/14	00:00:00	1.6404000	1.6488000	1.6388000	1.6448000	0
