<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
AUDUSD	D	01/01/15	00:00:00	0.8163300	0.8182300	0.8155500	0.8175000	12012
AUDUSD	D	02/01/15	00:00:00	0.8175000	0.8184900	0.8089000	0.8096200	787984
AUDUSD	D	03/01/15	00:00:00	0.8096800	0.8097100	0.8076000	0.8088000	25786
AUDUSD	D	04/01/15	00:00:00	0.8075000	0.8083100	0.8067000	0.8077500	836
AUDUSD	D	05/01/15	00:00:00	0.8077100	0.8107000	0.8031000	0.8087900	1259190
AUDUSD	D	06/01/15	00:00:00	0.8087700	0.8157400	0.8078000	0.8095300	1543815
AUDUSD	D	07/01/15	00:00:00	0.8095300	0.8098400	0.8029000	0.8070600	1382452
AUDUSD	D	08/01/15	00:00:00	0.8069900	0.8130700	0.8064000	0.8114000	1340712
AUDUSD	D	09/01/15	00:00:00	0.8114100	0.8208300	0.8103000	0.8204500	1335900
AUDUSD	D	10/01/15	00:00:00	0.8204300	0.8205000	0.8194000	0.8201000	22430
AUDUSD	D	11/01/15	00:00:00	0.8200100	0.8209000	0.8198000	0.8204000	1292
AUDUSD	D	12/01/15	00:00:00	0.8204000	0.8254700	0.8127000	0.8156700	1046700
AUDUSD	D	13/01/15	00:00:00	0.8156900	0.8198100	0.8124000	0.8163200	1150419
AUDUSD	D	14/01/15	00:00:00	0.8163300	0.8189200	0.8063000	0.8155300	1312798
AUDUSD	D	15/01/15	00:00:00	0.8155800	0.8295000	0.8130000	0.8223700	1589181
AUDUSD	D	16/01/15	00:00:00	0.8224700	0.8256300	0.8166000	0.8234900	1075733
AUDUSD	D	17/01/15	00:00:00	0.8234700	0.8238100	0.8214800	0.8227000	17489
AUDUSD	D	18/01/15	00:00:00	0.8217000	0.8219000	0.8213000	0.8216000	447
AUDUSD	D	19/01/15	00:00:00	0.8216000	0.8243600	0.8191000	0.8209500	1088846
AUDUSD	D	20/01/15	00:00:00	0.8209200	0.8218200	0.8157000	0.8174600	1340818
AUDUSD	D	21/01/15	00:00:00	0.8174600	0.8233900	0.8073000	0.8087900	1485253
AUDUSD	D	22/01/15	00:00:00	0.8087800	0.8136600	0.8008700	0.8019700	1546075
AUDUSD	D	23/01/15	00:00:00	0.8019100	0.8052500	0.7877000	0.7918900	1644465
AUDUSD	D	24/01/15	00:00:00	0.7919000	0.7951000	0.7901300	0.7904000	27305
AUDUSD	D	25/01/15	00:00:00	0.7895000	0.7899000	0.7852000	0.7880100	2047
AUDUSD	D	26/01/15	00:00:00	0.7880700	0.7933700	0.7855000	0.7921800	1260115
AUDUSD	D	27/01/15	00:00:00	0.7921000	0.7974800	0.7902000	0.7938900	1403630
AUDUSD	D	28/01/15	00:00:00	0.7938600	0.8025100	0.7892000	0.7904100	1419158
AUDUSD	D	29/01/15	00:00:00	0.7903800	0.7911100	0.7717000	0.7764700	1425145
AUDUSD	D	30/01/15	00:00:00	0.7764000	0.7797500	0.7726000	0.7785300	1345924
AUDUSD	D	31/01/15	00:00:00	0.7784000	0.7786500	0.7759200	0.7768000	24008
AUDUSD	D	02/02/15	00:00:00	0.7758000	0.7830100	0.7742000	0.7805300	1133215
AUDUSD	D	03/02/15	00:00:00	0.7805200	0.7852800	0.7622000	0.7803500	1606619
AUDUSD	D	04/02/15	00:00:00	0.7803400	0.7849900	0.7739000	0.7781000	1512832
AUDUSD	D	05/02/15	00:00:00	0.7781100	0.7824500	0.7730000	0.7818400	1316657
AUDUSD	D	06/02/15	00:00:00	0.7817700	0.7876200	0.7776000	0.7799100	1253261
AUDUSD	D	07/02/15	00:00:00	0.7799500	0.7806300	0.7787000	0.7796000	23479
AUDUSD	D	08/02/15	00:00:00	0.7770000	0.7774000	0.7748000	0.7758700	1937
AUDUSD	D	09/02/15	00:00:00	0.7756000	0.7834500	0.7745000	0.7808700	1001299
AUDUSD	D	10/02/15	00:00:00	0.7807000	0.7841700	0.7743000	0.7767900	1187117
AUDUSD	D	11/02/15	00:00:00	0.7768000	0.7794600	0.7689000	0.7706400	1132502
AUDUSD	D	12/02/15	00:00:00	0.7705900	0.7778800	0.7640000	0.7741000	1386357
AUDUSD	D	13/02/15	00:00:00	0.7739800	0.7792700	0.7720000	0.7765500	1100662
AUDUSD	D	14/02/15	00:00:00	0.7766500	0.7784600	0.7747200	0.7770000	19388
AUDUSD	D	15/02/15	00:00:00	0.7762000	0.7776000	0.7760600	0.7774000	608
AUDUSD	D	16/02/15	00:00:00	0.7774000	0.7794700	0.7747000	0.7773400	938556
AUDUSD	D	17/02/15	00:00:00	0.7773900	0.7828900	0.7740000	0.7820100	1244555
AUDUSD	D	18/02/15	00:00:00	0.7820300	0.7838400	0.7770000	0.7820700	1074110
AUDUSD	D	19/02/15	00:00:00	0.7820600	0.7843200	0.7753000	0.7790400	1063065
AUDUSD	D	20/02/15	00:00:00	0.7787700	0.7848700	0.7783000	0.7843000	1083796
AUDUSD	D	21/02/15	00:00:00	0.7843800	0.7846600	0.7834000	0.7838000	19487
AUDUSD	D	22/02/15	00:00:00	0.7842000	0.7844000	0.7835000	0.7842000	1126
AUDUSD	D	23/02/15	00:00:00	0.7842000	0.7848500	0.7776000	0.7801600	960195
AUDUSD	D	24/02/15	00:00:00	0.7801700	0.7837400	0.7735000	0.7830000	1177843
AUDUSD	D	25/02/15	00:00:00	0.7829400	0.7901300	0.7819000	0.7889200	1149895
AUDUSD	D	26/02/15	00:00:00	0.7889300	0.7912900	0.7782000	0.7790700	1122828
AUDUSD	D	27/02/15	00:00:00	0.7790700	0.7834400	0.7774000	0.7814900	1056332
AUDUSD	D	28/02/15	00:00:00	0.7814900	0.7815500	0.7802700	0.7806000	12563
AUDUSD	D	01/03/15	00:00:00	0.7840000	0.7844000	0.7810000	0.7816000	1500
AUDUSD	D	02/03/15	00:00:00	0.7813000	0.7818000	0.7751000	0.7767400	761606
AUDUSD	D	03/03/15	00:00:00	0.7767400	0.7844500	0.7748000	0.7818400	1010942
AUDUSD	D	04/03/15	00:00:00	0.7819000	0.7860400	0.7793800	0.7821700	1099254
AUDUSD	D	05/03/15	00:00:00	0.7821700	0.7840500	0.7750000	0.7770300	1002116
AUDUSD	D	06/03/15	00:00:00	0.7770400	0.7846000	0.7703000	0.7718300	1153444
AUDUSD	D	07/03/15	00:00:00	0.7718800	0.7722200	0.7708000	0.7712000	16796
AUDUSD	D	08/03/15	00:00:00	0.7705200	0.7724000	0.7700000	0.7705000	1200
AUDUSD	D	09/03/15	00:00:00	0.7705200	0.7740000	0.7681000	0.7702000	1019610
AUDUSD	D	10/03/15	00:00:00	0.7702000	0.7707600	0.7601000	0.7622700	1374281
AUDUSD	D	11/03/15	00:00:00	0.7622700	0.7644500	0.7556000	0.7592200	1472340
AUDUSD	D	12/03/15	00:00:00	0.7591700	0.7731300	0.7570000	0.7705100	1547702
AUDUSD	D	13/03/15	00:00:00	0.7706900	0.7710200	0.7606000	0.7635700	1240240
AUDUSD	D	14/03/15	00:00:00	0.7635700	0.7639000	0.7631400	0.7635000	218
AUDUSD	D	15/03/15	00:00:00	0.7626000	0.7635000	0.7610000	0.7618000	1064
AUDUSD	D	16/03/15	00:00:00	0.7619900	0.7679600	0.7610000	0.7638000	1117763
AUDUSD	D	17/03/15	00:00:00	0.7637700	0.7665200	0.7601000	0.7616200	1308699
AUDUSD	D	18/03/15	00:00:00	0.7617300	0.7847300	0.7587000	0.7774000	1425816
AUDUSD	D	19/03/15	00:00:00	0.7774100	0.7808600	0.7607000	0.7644800	1709690
AUDUSD	D	20/03/15	00:00:00	0.7648200	0.7802600	0.7640000	0.7770400	1467064
AUDUSD	D	21/03/15	00:00:00	0.7771500	0.7775100	0.7771000	0.7772000	93
AUDUSD	D	22/03/15	00:00:00	0.7780000	0.7783400	0.7761000	0.7779400	884
AUDUSD	D	23/03/15	00:00:00	0.7781100	0.7899000	0.7760000	0.7879000	1535685
AUDUSD	D	24/03/15	00:00:00	0.7879300	0.7938200	0.7834000	0.7875400	1496915
AUDUSD	D	25/03/15	00:00:00	0.7875900	0.7904700	0.7824000	0.7842700	1278285
AUDUSD	D	26/03/15	00:00:00	0.7841900	0.7884200	0.7797000	0.7827200	1483254
AUDUSD	D	27/03/15	00:00:00	0.7827800	0.7835000	0.7742000	0.7747900	1258022
AUDUSD	D	28/03/15	00:00:00	0.7749500	0.7759000	0.7746200	0.7750000	148
AUDUSD	D	29/03/15	00:00:00	0.7743000	0.7757000	0.7729000	0.7732200	1809
AUDUSD	D	30/03/15	00:00:00	0.7734000	0.7747300	0.7630000	0.7653000	1095771
